Geneid	Chr	Start	End	Strand	Length	Starch_S232	Starch_S235	Fat_S238	Starch_S233	Fat_S237	Starch_S231	Fat_S239	Fat_S236	Fat_S240
ribF	U00096.3	21407	22348	+	942	122	80	115	98	75	80	99	106	112
ileS	U00096.3	22391	25207	+	2817	130	125	144	131	117	124	130	162	125
lspA	U00096.3	25207	25701	+	495	14	20	24	25	10	29	16	27	20
fkpB	U00096.3	25826	26275	+	450	4	7	5	7	4	8	5	10	13
ispH	U00096.3	26277	27227	+	951	12	12	10	14	3	9	8	11	10
rihC	U00096.3	27293	28207	+	915	13	11	6	5	7	11	12	8	13
dapB	U00096.3	28374	29195	+	822	18	27	20	24	12	19	19	22	28
carA	U00096.3	29651	30799	+	1149	11	12	18	12	12	6	12	12	16
carB	U00096.3	30817	34038	+	3222	34	42	48	30	25	38	32	27	31
caiF	U00096.3	34300	34695	+	396	15	14	18	17	8	19	23	12	18
caiE	U00096.3	34781	35371	-	591	15	25	4	17	1	13	3	4	2
caiD	U00096.3	35377	36162	-	786	21	35	5	15	4	25	5	4	1
caiC	U00096.3	36271	37824	-	1554	45	79	41	48	13	64	21	17	24
caiB	U00096.3	37898	39115	-	1218	38	27	17	25	10	35	11	15	12
caiA	U00096.3	39244	40386	-	1143	41	44	41	44	20	34	30	18	24
caiT	U00096.3	40417	41931	-	1515	9	29	12	14	7	11	4	4	9
fixA	U00096.3	42403	43173	+	771	14	29	16	15	2	24	3	7	3
fixB	U00096.3	43188	44129	+	942	14	27	11	17	3	21	6	8	5
fixC	U00096.3	44180	45466	+	1287	20	20	17	18	3	24	5	4	3
fixX	U00096.3	45463	45750	+	288	9	15	11	12	3	14	3	4	1
yaaU	U00096.3	45807	47138	+	1332	4	5	3	3	0	1	0	3	3
kefF	U00096.3	47246	47776	+	531	3	5	3	3	2	3	4	2	3
kefC	U00096.3	47769	49631	+	1863	2	3	8	6	3	4	2	4	6
folA	U00096.3	49823	50302	+	480	9	9	8	11	7	8	13	9	12
apaH	U00096.3	50380	51222	-	843	2	5	4	8	5	3	3	6	4
apaG	U00096.3	51229	51606	-	378	5	6	2	3	4	6	2	6	13
rsmA	U00096.3	51609	52430	-	822	45	42	35	31	31	48	38	46	47
pdxA	U00096.3	52427	53416	-	990	39	51	45	51	41	43	32	54	63
surA	U00096.3	53416	54702	-	1287	76	107	99	109	69	92	83	93	98
lptD	U00096.3	54755	57109	-	2355	208	207	243	200	173	186	207	210	250
djlA	U00096.3	57364	58179	+	816	13	14	7	12	7	9	7	11	5
yabP	U00096.3	58474	59124	+	651	20	17	21	17	19	21	21	23	23
yabQ	U00096.3	59121	59279	+	159	47	45	37	49	37	34	29	40	49
rluA	U00096.3	59687	60346	-	660	3	2	4	5	5	4	1	2	4
rapA	U00096.3	60358	63264	-	2907	15	26	14	22	13	20	21	16	14
polB	U00096.3	63429	65780	-	2352	17	13	13	19	10	18	8	9	11
araD	U00096.3	65855	66550	-	696	18	23	23	21	19	15	13	23	20
araA	U00096.3	66835	68337	-	1503	22	23	28	24	17	15	22	24	27
araB	U00096.3	68348	70048	-	1701	2	4	12	4	2	2	11	4	8
araC	U00096.3	70387	71265	+	879	1	6	5	4	3	1	5	1	2
yabI	U00096.3	71351	72115	+	765	7	13	17	8	5	18	16	11	12
thiQ	U00096.3	72229	72927	-	699	1	1	1	1	0	2	1	0	1
thiP	U00096.3	72911	74521	-	1611	2	0	3	2	1	2	2	2	1
thiB	U00096.3	74497	75480	-	984	6	3	5	1	3	2	1	2	5
sgrR	U00096.3	75644	77299	-	1656	7	9	7	4	6	6	4	9	8
sgrS	U00096.3	77367	77593	+	227	11	17	4	13	8	16	9	8	4
sgrT	U00096.3	77388	77519	+	132	11	17	2	12	6	12	6	4	4
setA	U00096.3	77621	78799	+	1179	8	7	9	3	0	4	7	4	4
leuD	U00096.3	78848	79453	-	606	6	9	2	5	3	6	7	4	7
leuC	U00096.3	79464	80864	-	1401	7	10	5	8	3	5	3	1	7
leuB	U00096.3	80867	81958	-	1092	3	1	6	3	5	2	2	3	7
leuA	U00096.3	81958	83529	-	1572	12	2	16	11	10	13	11	8	11
leuL	U00096.3	83622	83708	-	87	0	0	0	3	0	0	1	0	0
leuO	U00096.3	84368	85312	+	945	1	3	3	3	0	3	0	0	0
yabR	U00096.3	85467	85511	-	45	0	1	0	0	0	0	1	0	0
ilvI	U00096.3	85630	87354	+	1725	2	4	5	8	4	2	3	1	1
ilvH	U00096.3	87357	87848	+	492	2	1	3	4	3	4	1	4	2
cra	U00096.3	88028	89032	+	1005	120	122	137	114	100	102	107	108	117
mraZ	U00096.3	89634	90092	+	459	22	21	26	34	30	25	29	37	31
rsmH	U00096.3	90094	91035	+	942	55	66	75	76	63	48	44	75	67
ftsL	U00096.3	91032	91397	+	366	48	52	54	47	42	47	43	58	54
ftsI	U00096.3	91413	93179	+	1767	53	55	71	59	32	55	54	63	67
murE	U00096.3	93166	94653	+	1488	5	10	6	10	9	8	6	12	9
murF	U00096.3	94650	96008	+	1359	16	17	13	13	15	9	15	9	20
mraY	U00096.3	96002	97084	+	1083	13	9	10	8	6	7	7	14	10
murD	U00096.3	97087	98403	+	1317	22	17	22	19	22	18	12	33	15
ftsW	U00096.3	98403	99647	+	1245	11	16	10	15	7	11	11	7	7
murG	U00096.3	99644	100711	+	1068	16	14	18	25	13	25	17	18	18
murC	U00096.3	100765	102240	+	1476	25	24	25	32	18	26	21	25	32
ddlB	U00096.3	102233	103153	+	921	80	86	94	89	63	76	98	76	87
ftsQ	U00096.3	103155	103985	+	831	91	104	111	108	72	108	105	93	95
ftsA	U00096.3	103982	105244	+	1263	78	59	72	55	47	59	55	66	67
ftsZ	U00096.3	105305	106456	+	1152	37	30	57	40	42	34	28	34	45
lpxC	U00096.3	106557	107474	+	918	482	411	428	412	294	381	346	318	317
secM	U00096.3	107705	108217	+	513	23	27	24	26	24	23	23	24	26
secA	U00096.3	108279	110984	+	2706	162	183	188	153	120	157	171	165	188
mutT	U00096.3	111044	111433	+	390	7	15	14	10	3	8	11	10	8
yacG	U00096.3	111649	111846	-	198	11	5	15	7	5	8	8	13	9
zapD	U00096.3	111856	112599	-	744	24	26	27	20	10	19	18	14	21
coaE	U00096.3	112599	113219	-	621	18	18	27	20	7	13	16	19	17
yacM	U00096.3	113244	113288	+	45	5	5	13	3	1	2	5	5	6
guaC	U00096.3	113444	114487	+	1044	41	38	29	30	30	32	28	36	26
hofC	U00096.3	114522	115724	-	1203	4	1	1	0	1	4	2	0	1
hofB	U00096.3	115714	117099	-	1386	4	2	4	1	5	2	2	3	2
ppdD	U00096.3	117109	117549	-	441	0	1	0	0	0	0	0	3	1
nadC	U00096.3	117752	118645	-	894	7	9	9	4	6	5	5	14	5
ampD	U00096.3	118733	119284	+	552	4	5	5	1	4	3	2	4	3
ampE	U00096.3	119281	120135	+	855	5	3	5	2	2	5	2	3	6
aroP	U00096.3	120178	121551	-	1374	17	12	18	11	9	16	6	15	16
pdhR	U00096.3	122092	122856	+	765	10	16	12	11	9	9	4	11	5
aceE	U00096.3	123017	125680	+	2664	44	37	48	46	43	39	45	42	46
aceF	U00096.3	125695	127587	+	1893	46	46	55	50	33	47	39	38	53
lpd	U00096.3	127912	129336	+	1425	77	82	110	107	54	67	80	69	81
yacH	U00096.3	129407	131260	-	1854	4	11	11	14	7	10	7	4	11
acnB	U00096.3	131615	134212	+	2598	54	65	69	44	32	45	52	58	56
yacL	U00096.3	134388	134750	+	363	29	53	28	39	20	36	28	20	17
speD	U00096.3	134788	135582	-	795	12	14	11	11	7	18	3	7	11
speE	U00096.3	135598	136464	-	867	4	8	2	6	5	3	4	4	3
yacC	U00096.3	136570	136917	-	348	4	1	5	4	2	2	3	2	2
cueO	U00096.3	137083	138633	+	1551	9	8	6	10	4	8	5	6	4
gcd	U00096.3	138835	141225	-	2391	8	11	6	6	5	11	7	5	6
hpt	U00096.3	141431	141967	+	537	45	29	47	51	35	31	37	54	45
can	U00096.3	142008	142670	-	663	32	24	28	19	26	24	22	27	23
yadG	U00096.3	142779	143705	+	927	8	12	4	8	6	12	17	7	7
yadH	U00096.3	143702	144472	+	771	3	2	6	2	1	3	3	2	1
yadI	U00096.3	144577	145017	+	441	9	11	10	11	10	6	7	7	14
yadE	U00096.3	145081	146310	+	1230	6	3	4	4	4	9	6	4	3
panD	U00096.3	146314	146694	-	381	73	77	103	82	66	75	73	90	97
rpnC	U00096.3	146968	147870	+	903	2	3	5	2	2	0	2	4	2
panC	U00096.3	147944	148795	-	852	33	22	29	23	18	23	23	22	26
panB	U00096.3	148807	149601	-	795	96	85	90	89	83	71	92	83	97
yadC	U00096.3	149715	150953	-	1239	8	6	10	8	4	10	3	1	3
yadK	U00096.3	151003	151599	-	597	2	0	1	2	0	0	0	2	0
yadL	U00096.3	151626	152231	-	606	2	2	1	0	0	0	1	0	0
yadM	U00096.3	152243	152812	-	570	1	0	1	0	0	0	2	2	0
htrE	U00096.3	152829	155426	-	2598	4	6	4	1	4	7	2	3	2
yadV	U00096.3	155461	156201	-	741	6	5	6	5	4	5	2	2	4
yadN	U00096.3	156299	156883	-	585	0	3	1	2	0	2	1	0	0
folK	U00096.3	157253	157732	-	480	1	0	2	1	1	2	1	1	0
pcnB	U00096.3	157729	159126	-	1398	33	40	36	42	35	42	24	43	44
gluQ	U00096.3	159186	160112	-	927	15	18	24	19	10	16	20	10	17
dksA	U00096.3	160149	160604	-	456	174	200	211	186	156	169	157	170	183
sfsA	U00096.3	160782	161486	-	705	393	413	446	418	322	356	318	353	375
thpR	U00096.3	161501	162031	-	531	3	5	1	2	1	3	4	7	4
hrpB	U00096.3	162105	164534	+	2430	16	10	15	11	6	10	6	7	11
mrcB	U00096.3	164730	167264	+	2535	14	15	19	18	21	18	19	20	20
fhuA	U00096.3	167484	169727	+	2244	8	11	7	10	7	9	8	14	6
fhuC	U00096.3	169778	170575	+	798	1	4	6	6	4	4	5	4	2
fhuD	U00096.3	170575	171465	+	891	2	3	2	6	3	4	4	2	3
fhuB	U00096.3	171462	173444	+	1983	3	3	5	5	3	1	1	5	3
hemL	U00096.3	173602	174882	-	1281	22	16	26	16	14	14	29	20	19
clcA	U00096.3	175107	176528	+	1422	18	24	10	11	12	19	15	14	15
yadW	U00096.3	176552	176617	+	66	27	28	21	21	20	28	24	22	27
erpA	U00096.3	176610	176954	+	345	44	45	35	33	29	36	35	34	38
yadS	U00096.3	177001	177624	-	624	3	4	4	3	1	6	2	3	3
btuF	U00096.3	177662	178462	-	801	2	4	2	2	1	1	2	4	1
mtn	U00096.3	178455	179153	-	699	42	46	64	55	36	41	41	53	48
dgt	U00096.3	179237	180754	+	1518	8	6	7	7	6	5	5	3	6
degP	U00096.3	180884	182308	+	1425	37	34	45	36	45	38	38	34	39
cdaR	U00096.3	182463	183620	+	1158	10	15	14	7	12	10	17	24	10
yaeH	U00096.3	183709	184095	-	387	85	73	74	62	48	70	53	64	76
yaeI	U00096.3	184257	185069	-	813	11	4	14	8	4	9	9	10	10
dapD	U00096.3	185123	185947	-	825	108	94	115	109	102	101	116	118	122
glnD	U00096.3	185978	188650	-	2673	28	32	44	28	23	35	37	45	43
map	U00096.3	188712	189506	-	795	140	129	139	120	124	123	114	142	142
tff	U00096.3	189712	189847	+	136	16	17	8	13	9	15	18	19	11
rpsB	U00096.3	189874	190599	+	726	479	468	473	442	416	469	444	514	495
tsf	U00096.3	190857	191708	+	852	449	446	509	433	372	415	435	473	509
pyrH	U00096.3	191855	192580	+	726	42	28	51	46	32	34	36	44	48
frr	U00096.3	192872	193429	+	558	835	867	934	829	717	818	803	803	834
dxr	U00096.3	193521	194717	+	1197	24	16	24	24	20	24	22	21	20
ispU	U00096.3	194903	195664	+	762	21	18	29	21	18	14	25	28	33
cdsA	U00096.3	195677	196534	+	858	10	7	7	8	8	7	6	5	5
rseP	U00096.3	196546	197898	+	1353	63	53	59	66	39	49	44	61	64
bamA	U00096.3	197928	200360	+	2433	114	82	106	96	75	97	75	94	106
skp	U00096.3	200482	200967	+	486	219	221	205	232	140	209	155	186	217
lpxD	U00096.3	200971	201996	+	1026	230	239	242	259	179	228	193	199	217
fabZ	U00096.3	202101	202556	+	456	87	96	121	103	79	98	104	93	106
lpxA	U00096.3	202560	203348	+	789	6	8	10	7	5	7	5	9	6
lpxB	U00096.3	203348	204496	+	1149	29	21	19	25	19	22	19	21	29
rnhB	U00096.3	204493	205089	+	597	4	4	2	0	1	0	2	3	2
dnaE	U00096.3	205126	208608	+	3483	59	63	72	57	57	76	65	72	61
accA	U00096.3	208621	209580	+	960	100	93	101	84	75	82	95	79	88
ldcC	U00096.3	209679	211820	+	2142	10	3	12	8	4	5	7	6	9
yaeR	U00096.3	211877	212266	+	390	3	1	3	2	1	4	2	0	5
tilS	U00096.3	212331	213629	+	1299	14	21	20	14	8	10	13	8	23
rof	U00096.3	213678	213932	-	255	182	174	191	170	132	146	156	158	151
yaeP	U00096.3	213925	214125	-	201	136	119	164	146	127	115	124	120	123
yaeQ	U00096.3	214291	214836	+	546	4	6	10	2	5	3	2	4	5
arfB	U00096.3	214833	215255	+	423	2	3	4	8	1	7	3	0	2
nlpE	U00096.3	215269	215979	+	711	10	18	19	15	11	11	13	8	12
yaeF	U00096.3	216179	217003	-	825	12	11	8	8	5	5	5	6	6
proS	U00096.3	217057	218775	-	1719	88	69	75	76	74	71	65	81	100
trmO	U00096.3	218887	219594	-	708	7	2	3	4	2	4	5	6	2
rcsF	U00096.3	219591	219995	-	405	13	15	9	16	7	16	8	9	15
metQ	U00096.3	220113	220928	-	816	14	7	24	14	14	7	17	17	18
metI	U00096.3	220968	221621	-	654	4	4	3	5	0	4	3	0	4
metN	U00096.3	221614	222645	-	1032	15	18	19	22	24	19	23	17	19
gmhB	U00096.3	222833	223408	+	576	11	9	14	6	14	14	13	13	9
rrsH	U00096.3	223771	225312	+	1542	98	100	115	114	77	93	85	95	97
ileV	U00096.3	225381	225457	+	77	0	0	1	1	0	0	0	0	0
alaV	U00096.3	225500	225575	+	76	0	0	0	0	0	1	0	0	0
rrlH	U00096.3	225759	228662	+	2904	318	379	304	348	195	258	214	177	183
rrfH	U00096.3	228756	228875	+	120	0	0	0	0	0	0	1	0	0
aspU	U00096.3	228928	229004	+	77	0	0	0	0	0	0	0	0	0
dkgB	U00096.3	229167	229970	+	804	10	14	16	15	7	10	14	5	7
yafC	U00096.3	229967	230881	-	915	7	3	5	7	2	3	1	5	5
yafD	U00096.3	231122	231922	+	801	36	51	40	43	40	47	35	44	32
yafE	U00096.3	231926	232549	+	624	40	51	36	44	29	49	29	33	33
mltD	U00096.3	232597	233955	-	1359	29	28	43	27	36	32	23	26	31
gloB	U00096.3	234027	234782	-	756	5	3	3	9	4	4	4	3	5
yafS	U00096.3	234816	235538	+	723	6	8	4	7	0	7	8	5	3
rnhA	U00096.3	235535	236002	-	468	4	13	12	11	7	11	4	16	15
dnaQ	U00096.3	236067	236798	+	732	54	57	63	60	47	44	42	55	67
aspV	U00096.3	236931	237007	+	77	0	0	0	1	0	1	0	0	0
yafT	U00096.3	237335	238120	+	786	4	8	4	4	3	2	4	1	4
ykfM	U00096.3	238257	238736	-	480	1	3	1	0	0	0	0	0	0
yafV	U00096.3	239419	240189	-	771	4	6	1	2	1	6	3	4	3
ivy	U00096.3	240343	240816	+	474	20	34	31	26	17	21	28	23	33
fadE	U00096.3	240859	243303	-	2445	6	8	9	8	4	8	10	2	5
lpcA	U00096.3	243543	244121	+	579	63	45	50	46	44	43	56	48	48
yafJ	U00096.3	244327	245094	+	768	12	14	17	11	12	8	10	16	18
yafK	U00096.3	245065	245805	-	741	45	46	49	37	33	26	38	42	36
yafQ	U00096.3	245961	246239	-	279	4	2	5	4	2	5	0	4	0
dinJ	U00096.3	246242	246502	-	261	25	48	32	39	9	33	13	18	16
yafL	U00096.3	246712	247461	+	750	2	0	4	3	1	3	2	2	2
rayT	U00096.3	247637	248134	+	498	2	8	4	3	1	3	3	2	3
dinB	U00096.3	250898	251953	+	1056	4	2	12	8	3	3	5	2	2
yafN	U00096.3	252005	252298	+	294	0	1	1	2	0	0	1	1	0
yafO	U00096.3	252301	252699	+	399	1	0	1	1	0	0	1	0	0
yafP	U00096.3	252709	253161	+	453	2	1	0	3	0	0	0	0	1
pepD	U00096.3	254259	255716	-	1458	42	32	49	43	38	28	38	32	32
gpt	U00096.3	255977	256435	+	459	15	15	25	14	16	13	15	13	20
frsA	U00096.3	256527	257771	+	1245	19	22	20	16	14	17	18	10	18
insB9	U00096.3	257923	258426	-	504	0	0	2	0	2	0	0	2	5
insA9	U00096.3	258345	258620	-	276	0	1	3	0	0	0	0	0	0
phoE	U00096.3	259045	260100	-	1056	4	2	2	2	1	4	0	0	1
proB	U00096.3	260388	261491	+	1104	61	65	77	63	36	62	55	59	72
proA	U00096.3	261503	262756	+	1254	195	200	225	174	145	182	186	198	187
thrW	U00096.3	262871	262946	+	76	5	3	4	3	2	6	6	2	1
ykfI	U00096.3	263328	263669	-	342	4	2	2	0	0	2	1	0	1
yafW	U00096.3	263690	264007	-	318	3	0	0	3	0	2	1	0	1
ykfH	U00096.3	264026	264247	-	222	1	0	0	1	0	0	0	0	0
ykfG	U00096.3	264256	264732	-	477	2	1	0	1	0	2	0	1	0
yafX	U00096.3	264748	265206	-	459	2	2	0	2	0	2	1	1	0
ykfF	U00096.3	265304	265543	-	240	2	2	3	2	2	2	0	0	3
ykfB	U00096.3	265620	266087	-	468	3	4	3	7	4	4	4	3	0
yafY	U00096.3	266110	266553	-	444	1	3	1	0	0	1	1	1	1
yafZ	U00096.3	267184	268005	-	822	0	0	1	1	0	0	1	0	1
ykfA	U00096.3	268097	268960	-	864	6	0	6	6	5	1	3	2	2
perR	U00096.3	269289	270182	-	894	1	1	4	5	2	2	2	2	3
insI-1	U00096.3	270603	271754	+	1152	10	11	13	14	7	9	8	3	14
eyeA	U00096.3	272580	272654	+	75	1	2	1	0	2	1	4	0	3
ykfC	U00096.3	272847	273992	+	1146	0	6	5	5	4	7	2	5	5
insH-1	U00096.3	274101	275117	-	1017	14	12	22	14	12	12	14	12	16
mmuP	U00096.3	275325	276728	+	1404	2	2	2	2	0	2	2	0	0
mmuM	U00096.3	276715	277647	+	933	4	3	4	5	3	4	2	2	5
afuC	U00096.3	277756	278802	-	1047	1	1	1	1	0	0	1	1	0
insB-2	U00096.3	279178	279681	-	504	0	1	1	3	0	0	4	2	2
insA-2	U00096.3	279600	279875	-	276	0	0	0	1	0	0	2	1	0
yagB	U00096.3	280385	280735	-	351	5	7	4	10	4	9	6	7	4
yagA	U00096.3	280829	281983	-	1155	0	2	0	0	0	3	1	0	0
yagE	U00096.3	282278	283186	+	909	1	8	4	11	3	7	3	8	5
yagF	U00096.3	283201	285168	+	1968	25	34	40	45	21	27	20	27	27
yagG	U00096.3	285395	286777	+	1383	0	2	1	2	3	2	1	1	0
yagH	U00096.3	286789	288399	+	1611	0	0	2	0	0	2	0	0	0
xynR	U00096.3	288404	289162	-	759	0	1	1	1	0	0	0	0	1
argF	U00096.3	289301	290305	-	1005	0	0	2	0	0	2	0	0	0
ykgS	U00096.3	290510	290638	+	129	2	0	2	1	2	0	0	1	0
insB-3	U00096.3	290649	291152	-	504	4	0	3	1	1	0	2	1	2
insA-3	U00096.3	291071	291346	-	276	0	1	0	0	0	0	3	0	0
yagJ	U00096.3	291500	292231	+	732	38	35	25	17	16	20	28	30	23
yagK	U00096.3	292322	292948	-	627	2	6	7	2	1	2	3	2	8
yagL	U00096.3	293220	293918	-	699	0	1	1	1	0	2	1	0	0
yagM	U00096.3	293945	294799	-	855	0	4	3	1	1	1	1	0	0
ykgV	U00096.3	294918	295142	-	225	2	1	2	1	0	0	1	0	1
yagN	U00096.3	295139	295579	-	441	6	1	3	1	1	1	1	3	0
intF	U00096.3	295696	297096	-	1401	7	5	9	6	4	6	9	3	5
yagP	U00096.3	297381	297791	-	411	2	1	4	2	2	4	0	1	0
paoD	U00096.3	297770	298726	-	957	2	1	1	3	0	2	1	3	0
paoC	U00096.3	298736	300934	-	2199	4	1	0	4	2	2	1	2	2
paoB	U00096.3	300931	301887	-	957	3	1	0	2	0	0	0	1	1
paoA	U00096.3	301884	302573	-	690	1	0	1	1	0	1	0	2	0
yagU	U00096.3	302991	303605	+	615	2	4	2	3	0	7	1	5	4
ykgJ	U00096.3	303853	304182	-	330	11	8	11	8	5	5	3	9	8
ecpE	U00096.3	304495	305205	-	711	3	3	9	1	2	1	3	4	3
ecpD	U00096.3	305174	306817	-	1644	7	5	5	6	6	6	7	5	3
ecpC	U00096.3	306807	309332	-	2526	7	4	2	4	4	5	5	0	2
ecpB	U00096.3	309358	310026	-	669	0	1	1	0	0	3	0	0	0
ecpA	U00096.3	310084	310671	-	588	1	0	1	1	1	2	1	0	0
ecpR	U00096.3	310746	311336	-	591	2	2	0	0	2	1	0	0	0
ykgL	U00096.3	312112	312339	+	228	2	1	3	2	3	2	5	1	6
ykgO	U00096.3	312374	312514	-	141	3	1	2	3	3	3	1	1	4
ykgM	U00096.3	312514	312777	-	264	2	4	5	3	1	0	2	1	0
ykgR	U00096.3	313141	313242	-	102	7	15	9	9	7	8	4	8	4
insE-1	U00096.3	315291	315590	+	300	3	6	0	3	3	5	7	5	5
insF-1	U00096.3	315587	316453	+	867	2	1	2	5	1	3	3	1	0
rclC	U00096.3	317726	318319	-	594	0	4	1	0	0	1	1	0	0
rclB	U00096.3	318331	318567	-	237	0	0	1	1	0	1	0	1	0
rclA	U00096.3	318676	320001	-	1326	4	10	3	2	2	7	5	3	4
rclR	U00096.3	320227	321081	+	855	1	0	1	2	0	0	0	0	0
ykgE	U00096.3	321608	322327	+	720	3	3	3	3	1	0	1	1	3
ykgF	U00096.3	322338	323765	+	1428	4	4	6	4	2	6	4	1	3
ykgG	U00096.3	323758	324453	+	696	16	21	18	13	7	20	9	12	14
ykgH	U00096.3	324696	325364	-	669	0	0	1	0	0	0	0	1	0
betA	U00096.3	325577	327247	-	1671	3	0	4	3	1	2	2	0	1
betB	U00096.3	327261	328733	-	1473	2	0	2	0	1	0	2	0	1
betI	U00096.3	328747	329334	-	588	2	0	0	0	0	0	1	0	1
betT	U00096.3	329463	331496	+	2034	5	1	3	4	2	2	0	0	0
yahV	U00096.3	331802	331876	+	75	0	0	0	0	0	0	0	1	0
pdeL	U00096.3	332371	333459	+	1089	4	6	10	7	3	9	5	8	3
yahB	U00096.3	333501	334433	-	933	1	1	3	1	0	0	0	3	2
yahC	U00096.3	334525	335022	-	498	3	9	3	5	1	13	6	3	3
yahD	U00096.3	335280	335885	+	606	0	1	0	1	0	1	2	3	2
yahE	U00096.3	335925	336788	+	864	0	0	0	0	0	0	2	0	0
yahF	U00096.3	336778	338325	+	1548	1	2	2	1	0	0	1	0	1
yahG	U00096.3	338325	339743	+	1419	1	3	2	1	3	3	1	4	3
yahH	U00096.3	339793	340089	+	297	0	1	0	0	1	0	2	0	0
yahI	U00096.3	340165	341115	+	951	2	3	2	4	3	4	1	2	4
yahJ	U00096.3	341125	342507	+	1383	16	11	10	19	9	8	14	19	15
yahK	U00096.3	342884	343933	+	1050	11	10	15	13	7	7	6	8	13
yahL	U00096.3	344176	344991	+	816	0	2	1	0	0	0	1	1	0
yahM	U00096.3	345404	345649	+	246	1	1	3	0	3	2	2	1	5
yahN	U00096.3	345666	346337	-	672	7	8	6	8	7	6	4	9	8
yahO	U00096.3	346484	346759	+	276	18	16	17	14	11	19	9	11	13
prpR	U00096.3	346857	348443	-	1587	2	2	2	1	1	2	3	0	0
prpB	U00096.3	348682	349572	+	891	1	1	3	0	0	1	0	2	0
prpC	U00096.3	350012	351181	+	1170	2	1	0	0	2	2	1	3	1
prpD	U00096.3	351215	352666	+	1452	1	0	0	0	0	0	0	1	0
prpE	U00096.3	352706	354592	+	1887	1	2	0	0	1	3	2	1	0
codB	U00096.3	354922	356181	+	1260	5	3	0	5	5	0	3	8	4
codA	U00096.3	356171	357454	+	1284	11	17	13	20	11	14	16	18	17
cynR	U00096.3	357791	358690	-	900	1	4	3	4	1	3	1	6	5
cynT	U00096.3	358799	359458	+	660	1	0	0	4	2	1	1	0	1
cynS	U00096.3	359489	359959	+	471	1	2	1	3	0	2	1	4	0
cynX	U00096.3	359992	361146	+	1155	4	3	3	5	3	6	0	5	2
lacA	U00096.3	361249	361860	-	612	154	103	150	111	94	84	108	140	146
lacY	U00096.3	361926	363179	-	1254	41	29	36	29	24	24	26	35	34
lacZ	U00096.3	363231	366305	-	3075	254	173	232	210	138	150	183	248	244
lacI	U00096.3	366428	367510	-	1083	2	5	3	5	2	1	3	3	4
mhpR	U00096.3	367587	368420	-	834	18	20	11	12	9	19	14	12	15
mhpA	U00096.3	368611	370275	+	1665	0	2	3	0	0	2	1	0	2
mhpB	U00096.3	370277	371221	+	945	1	0	0	1	0	2	1	0	0
mhpC	U00096.3	371239	372105	+	867	3	0	0	3	2	2	0	0	0
mhpD	U00096.3	372115	372924	+	810	1	0	1	0	1	2	1	0	0
mhpF	U00096.3	372921	373871	+	951	1	0	2	1	1	0	0	2	2
mhpE	U00096.3	373868	374881	+	1014	1	2	5	4	4	1	4	0	1
mhpT	U00096.3	375459	376670	+	1212	0	5	3	8	2	2	2	2	0
yaiL	U00096.3	376772	377311	+	540	22	19	15	8	12	24	16	17	16
frmB	U00096.3	377535	378368	-	834	15	18	18	14	12	12	14	19	17
frmA	U00096.3	378462	379571	-	1110	18	20	10	22	10	14	13	25	8
frmR	U00096.3	379606	379881	-	276	15	10	7	13	11	13	14	13	16
yaiO	U00096.3	380069	380842	-	774	4	0	2	3	3	3	3	3	0
