Name	Direction	TU_start	TU_end	Genes
metZWV	+	2947382.0	2947756.0	metZ,metW,metV
serS	+	939365.0	940765.0	serS
nlpI	-	3308040.0	3309040.0	nlpI
gss	-	3136663.0	3138610.0	gss
yafT	+	237235.0	238120.0	yafT
pphB	+	2859737.0	2860416.0	pphB
ldhA	-	1441854.0	1442915.0	ldhA
yggG	+	3081892.0	3082671.0	loiP
acrAB	-	481254.0	485698.0	acrA,acrB
holC	-	4483837.0	4484280.0	holC
ygbI	-	2860467.0	2861441.0	ygbI
asnB	-	697513.0	699222.0	asnB
malK-lamB-malM	+	4246736.0	4250474.0	malK,lamB,malM
tsgA	+	3492519.0	3493749.0	tsgA
glyVXY	+	4392313.0	4392658.0	glyV,glyX,glyY
glpTQ	-	2349935.0	2352451.0	glpQ,glpT
ves	-	1824362.0	1824984.0	ves
dcuB-fumB	-	4345631.0	4349091.0	fumB,dcuB
aroF-tyrA	-	2738912.0	2741201.0	tyrA,aroF
nudC-hemE-nfi	+	4196714.0	4199461.0	nfi,hemE,nudC
nlpA	-	3839175.0	3840017.0	nlpA
ppdAB-ygdB-ppdC-recC	-	2959060.0	2964220.0	ppdA,ppdB,ygdB,ppdC,recC
arcA	-	4639539.0	4640801.0	arcA
ycfJ	+	1167407.0	1168138.0	ycfJ
yabR	-	85467.0	85511.0	yabR
ypdI	+	2494494.0	2494973.0	ypdI
cbrBC	+	3897479.0	3898609.0	cbrC,cbrB
crr	+	2535480.0	2536380.0	crr
yihR	-	4069475.0	4070401.0	yihR
yfjH	-	2757644.0	2758663.0	yfjH
eno	-	2906643.0	2908846.0	eno
ypjA	-	2778146.0	2782822.0	ypjA
pgrR	+	1391991.0	1392890.0	pgrR
yfaE	+	2348338.0	2348768.0	yfaE
yaiS	-	384059.0	384830.0	yaiS
ycdT	+	1092841.0	1094234.0	dgcT
ygeW	+	3006117.0	3007452.0	ygeW
fldA-uof-fur	-	710118.0	711521.0	uof,fur,fldA
ygaM	+	2800121.0	2800475.0	ygaM
plsC	-	3162744.0	3163481.0	plsC
ampDE	+	118703.0	120135.0	ampD,ampE
insA2B2AB2-afuBC	-	277756.0	279875.0	insA2,insB2,insAB2,afuB,afuC
metJ	-	4128078.0	4128558.0	metJ
flgMN	-	1129414.0	1130165.0	flgN,flgM
proVWX	+	2804563.0	2808124.0	proX,proW,proV
smf	-	3432436.0	3433686.0	smf
ldrD	-	3699899.0	3700272.0	ldrD
ydgH	+	1678377.0	1679371.0	ydgH
acs-yjcHG	-	4283253.0	4287595.0	actP,yjcH,acs
yadV-htrE	-	152829.0	156235.0	htrE,yadV
yjbS	-	4268809.0	4269012.0	yjbS
yiiX	-	4127286.0	4127894.0	yiiX
tyrP	+	1989502.0	1990892.0	tyrP
putP	+	1079168.0	1080838.0	putP
fur	-	710118.0	710723.0	fur
agp	+	1065559.0	1066857.0	agp
cysPUWAM	-	2538672.0	2543557.0	cysM,cysA,cysW,cysU,cysP
rimK-ybjN	+	891876.0	893433.0	ybjN,rimK
yiaB	-	3727407.0	3727827.0	yiaB
yqeK	-	2989935.0	2990570.0	yqeK
tnaAB	+	3888513.0	3891483.0	tnaB,tnaA
yliM-ompX	+	850209.0	851009.0	yliM,ompX
ymgA-ariR	+	1216068.0	1216635.0	ariR,ymgA
trpCBA	-	1316416.0	1319944.0	trpA,trpB,trpC
grcA	-	2716066.0	2716523.0	grcA
rhaSR	+	4097711.0	4099494.0	rhaS,rhaR
dnaN-recF	-	3880148.0	3882733.0	recF,dnaN
osmY	+	4611153.0	4612001.0	osmY
rluD-pgeF	-	2734303.0	2736026.0	rluD,yfiH
rdlA	+	1269323.0	1269389.0	rdlA
cadC	-	4360396.0	4361963.0	cadC
leuQPV	-	4606079.0	4606432.0	leuV,leuP,leuQ
ygcW	-	2899488.0	2900471.0	ygcW
rrlH-rrfH	+	225759.0	228875.0	rrfH,rrlH
yeeRST-cbeA-cbtA-yeeW	+	2074779.0	2078134.0	yeeW,cbtA,cbeA,yeeT,yeeS,yeeR
dmsABC	+	940823.0	944896.0	dmsC,dmsB,dmsA
ribA	-	1338512.0	1339234.0	ribA
treR	-	4466284.0	4467347.0	treR
nrdDG	-	4459900.0	4462838.0	nrdG,nrdD
yaaI	-	11382.0	11938.0	yaaI
oppA	+	1300916.0	1302813.0	oppA
yjbE	+	4235858.0	4236209.0	yjbE
groSL	+	4370616.0	4372671.0	groL,groS
yciI	-	1310569.0	1310892.0	yciI
tehAB	+	1500536.0	1502155.0	tehA,tehB
yehE	-	2192515.0	2192909.0	yehE
yidZ	+	3892765.0	3893724.0	yidZ
insH3	-	687997.0	689222.0	insH3
rcsB	+	2315695.0	2316827.0	rcsB
lysU	-	4353200.0	4354805.0	lysU
hspQ	-	1028404.0	1028721.0	hspQ
yghJ	-	3114550.0	3119320.0	yghJ
ybgS	-	784937.0	785496.0	ybgS
gspCDEFGHIJKLMO	+	3455482.0	3466220.0	gspO,gspM,gspL,gspK,gspJ,gspI,gspH,gspG,gspF,gspE,gspD,gspC
ptsA-fsaB-gldA	-	4137932.0	4142221.0	ptsA,fsaB,gldA
ycaP	+	956762.0	957454.0	ycaP
yiiM	+	4102753.0	4103496.0	yiiM
fliLMNOPQR	+	2019584.0	2023678.0	fliR,fliQ,fliP,fliO,fliN,fliM,fliL
rph	-	3815807.0	3816580.0	rph
yebQ	+	1910157.0	1911649.0	yebQ
mscK	+	486492.0	489898.0	mscK
arpB	+	1803094.0	1804993.0	arpB
sfmA	+	558062.0	558754.0	sfmA
nmpC	-	574529.0	576870.0	nmpC
rnd	-	1886864.0	1888061.0	rnd
aslA	-	3984352.0	3986007.0	aslA
yicH	+	3830431.0	3832166.0	yicH
yihF	+	4044055.0	4045629.0	yihF
safA-ydeO	-	1582926.0	1584028.0	ydeO,safA
galETK	-	788615.0	792086.0	galK,galT,galE
guaBA	-	2630906.0	2634107.0	guaA,guaB
murR	-	2544752.0	2545793.0	murR
yehDCBA	-	2187380.0	2192222.0	yehD,yehC,yehB,yehA
nlpD-rpoS	-	2866559.0	2868829.0	rpoS,nlpD
degP	+	180845.0	182308.0	degP
trmB-yggL	-	3101807.0	3102852.0	trmB,yggL
pstSCA	-	3908495.0	3911568.0	pstA,pstC,pstS
pgk-fbaA	-	3070165.0	3072857.0	fbaA,pgk
tatABC	+	4021909.0	4024336.0	tatC,tatB,tatA
csrA	-	2818961.0	2819373.0	csrA
trmJ	-	2662583.0	2663323.0	trmJ
racR	-	1419765.0	1420449.0	racR
rrsC-gltU-rrlC-rrfC	+	3941516.0	3947067.0	rrfC,rrlC,gltU,rrsC
serA	-	3057178.0	3058549.0	serA
fliFGHIJK	+	2013146.0	2019513.0	fliF,fliG,fliH,fliI,fliJ,fliK
allB	+	538944.0	540508.0	allB
mgrB	-	1908623.0	1908792.0	mgrB
nagA	-	701603.0	703175.0	nagA
yceH	+	1126077.0	1126804.0	yceH
pstCAB-phoU	-	3906853.0	3910542.0	phoU,pstB,pstA,pstC
ompR-envZ	-	3534473.0	3536755.0	envZ,ompR
yafZ	-	267184.0	268026.0	yafZ
ygcRQ	-	2894919.0	2896555.0	ygcR,ygcQ
ghoST	+	4352549.0	4353081.0	ghoT,ghoS
rrfG	-	2726069.0	2726188.0	rrfG
cra	+	87947.0	89032.0	cra
yeiW	-	2265041.0	2265330.0	yeiW
yafNOP	+	251969.0	253161.0	yafP,yafO,yafN
bhsA	+	1169019.0	1169330.0	bhsA
ynfN	-	1637954.0	1638299.0	ynfN,ynfR
dtpB	+	3640862.0	3642331.0	dtpB
yneK	+	1615550.0	1616878.0	yneK
ygeLK	-	2994460.0	2995092.0	ygeL,ygeK
rrsG-gltW-rrlG-rrfG	-	2726069.0	2731448.0	rrfG,rrlG,gltW,rrsG
metH	+	4223505.0	4227511.0	metH
ryfD	-	2734153.0	2734295.0	ryfD
cysH	-	2887578.0	2888312.0	cysH
pdeR	-	1344757.0	1346843.0	pdeR
ymdB	+	1105803.0	1106353.0	ymdB
glf-rfc	-	2106060.0	2108329.0	wbbH,glf
tomB-hha	-	480090.0	480794.0	tomB,hha
appY	+	583567.0	584430.0	appY
pepE	-	4229453.0	4230142.0	pepE
dauA	-	1259124.0	1260803.0	dauA
pgk	-	3071431.0	3072857.0	pgk
ivbL-ilvBN	-	3850746.0	3853023.0	ilvN,ilvB,ivbL
exbD	-	3150552.0	3151390.0	exbD
yqcE-ygcE	+	2900472.0	2903374.0	ygcE,yqcE
rnc-era-recO-pdxJ-acpS	-	2700618.0	2704223.0	acpS,pdxJ,recO,era,rnc
frdABCD	-	4378966.0	4382412.0	frdD,frdC,frdB,frdA
yehK	+	2203784.0	2204289.0	yehK
yeiR-lpxT	+	2267742.0	2269567.0	lpxT,yeiR
gyrB	-	3877532.0	3880150.0	gyrB
eptC	-	4148532.0	4150265.0	eptC
yibD	-	3789047.0	3790149.0	waaH
ynbG	-	1465165.0	1465230.0	ynbG
fepA-entD	-	609459.0	612667.0	entD,fepA
kduD	-	2982497.0	2983258.0	kduD
rsmH-ftsLIO-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC	+	90010.0	107474.0	ftsO,lpxC,ftsZ,ftsA,ftsQ,ddlB,murC,murG,ftsW,murD,mraY,murF,murE,ftsI,ftsL,rsmH
yebO	-	1908261.0	1908548.0	yebO
mutL-miaA-hfq-hflXKC	+	4397046.0	4404304.0	hflC,hflK,hflX,hfq,miaA,mutL
malEFGH	-	4242531.0	4246464.0	malH,malG,malF,malE
glpFKX	-	4114527.0	4118161.0	glpX,glpK,glpF
ynfM	+	1669672.0	1670952.0	ynfM
pheMST-ihfA	-	1795216.0	1799301.0	ihfA,pheM,pheT,pheS
ydhF	-	1724736.0	1725655.0	ydhF
rhoL-rho	+	3966162.0	3967731.0	rhoL,rho
hfq-hflXKC	+	4399801.0	4404304.0	hflC,hflK,hflX,hfq
uvrA	-	4271007.0	4273936.0	uvrA
tpke70	-	2496194.0	2496629.0	tpke70
ybhB	-	807433.0	808035.0	ybhB
uxaB	-	1609229.0	1610737.0	uxaB
zntA	+	3606422.0	3608649.0	zntA
stpA	-	2798091.0	2798578.0	stpA
rpsMKD-rpoA-rplQ	-	3439581.0	3442565.0	rplQ,rpoA,rpsD,rpsK,rpsM
glpEGR	-	3559754.0	3561849.0	glpR,glpG,glpE
yeaVW	+	1883188.0	1885789.0	yeaW,yeaV
dpiBA	+	651984.0	654542.0	dpiA,dpiB
hemF	+	2552952.0	2554124.0	hemF
yhhN	+	3605575.0	3606377.0	yhhN
kdgR	-	1909308.0	1910253.0	kdgR
ygiM	+	3201104.0	3201827.0	ygiM
nuoABCEFGHIJKLMN	-	2390005.0	2405335.0	nuoN,nuoM,nuoL,nuoK,nuoJ,nuoI,nuoH,nuoG,nuoF,nuoE,nuoC,nuoB,nuoA
alx	+	3238370.0	3239545.0	alx,sraF
cyaY	-	3993739.0	3994083.0	cyaY
bcp	+	2600437.0	2600948.0	bcp
hepA	-	60358.0	63588.0	rapA
ugpBAECQ	-	3587370.0	3592426.0	ugpQ,ugpC,ugpE,ugpA,ugpB
yhhM	-	3605251.0	3605794.0	yhhM
ydcC	+	1531816.0	1532952.0	ydcC
yjbD	-	4231359.0	4231631.0	yjbD
rpoH	-	3599887.0	3601003.0	rpoH
glpFK	-	4115714.0	4118161.0	glpK,glpF
yjjX	-	4633233.0	4633899.0	yjjX
ydfABC	+	1648438.0	1649041.0	ydfC,ydfB,ydfA
yibN	-	3784584.0	3785195.0	yibN
nusA-infB	-	3313185.0	3317602.0	infB,nusA
kdsC-lptCAB	+	3341719.0	3344669.0	lptB,lptA,lptC,kdsC
creABC	+	4635243.0	4638120.0	creC,creB,creA
ydaSTUVW-rzpR	+	1420170.0	1423644.0	rzpR,ydaW,ydaV,ydaU,ydaT,ydaS
ychN	-	1273246.0	1273655.0	ychN
ybhA	-	797613.0	798592.0	ybhA
emrRAB	+	2810747.0	2814154.0	mprA,emrA,emrB
yqeA	+	3011461.0	3012393.0	yqeA
yedD	-	2007677.0	2008261.0	yedD
yghX	-	3146856.0	3147691.0	yghX
ybdL	+	633557.0	634746.0	ybdL
luxS	-	2814218.0	2815065.0	luxS
yfbN	-	2387710.0	2388587.0	yfbN
yfiR-dgcN-yfiB	+	2741824.0	2744169.0	yfiB,dgcN,yfiR
cbpA-cbpM	-	1062550.0	1064037.0	cbpM,cbpA
insA-7	+	4518379.0	4518802.0	insA7
rpoD	+	3212473.0	3214962.0	rpoD
yghU	+	3138700.0	3139593.0	yghU
maeB	-	2576098.0	2578377.0	maeB
cyaA	+	3990774.0	3993699.0	cyaA
ihfA	-	1795216.0	1795721.0	ihfA
yghT	+	3133915.0	3134823.0	yghT
lpxT	+	2268826.0	2269567.0	lpxT
panE-yajL	-	443051.0	444515.0	panE,yajL
mobAB	-	4040906.0	4042121.0	mobB,mobA
clpB	-	2731557.0	2734205.0	clpB
hokD	-	1645119.0	1645274.0	hokD
gntRKU	-	3575688.0	3578880.0	gntU,gntK,gntR
igaA	+	3526469.0	3528604.0	igaA
yhjH	-	3678420.0	3679229.0	pdeH
yfGM	-	2638663.0	2639370.0	yfgM
yfjD	+	2748774.0	2750060.0	yfjD
soxR	+	4277447.0	4277957.0	soxR
yafDE	+	231064.0	232549.0	yafE,yafD
rpmI-rplT	-	1799363.0	1800427.0	rplT,rpmI
yeaK	+	1873574.0	1874077.0	yeaK
yifL-dapF-yigA-xerC-yigB	+	3994492.0	3997899.0	yigB,xerC,yigA,dapF,lptM,yifL
rph-pyrE	-	3815096.0	3816580.0	pyrE,rph
yddH	-	1533282.0	1533851.0	yddH
uhpABC	-	3847305.0	3850726.0	uhpC,uhpB,uhpA
ynfL	-	1668699.0	1669652.0	ynfL
groL	+	4370783.0	4372671.0	groL
ldtF	-	245065.0	245805.0	dpaA
xynR	-	288404.0	289162.0	xynR
ysgA	-	4015354.0	4016343.0	ysgA
ypjB	-	2783638.0	2784818.0	ypjB
uxuR	+	4554458.0	4555349.0	uxuR
pspABCDE	+	1368038.0	1370003.0	pspA,pspB,pspC,pspD,pspE
yfdE	-	2488023.0	2489168.0	yfdE
galF	-	2113434.0	2114351.0	galF
ybhD	-	799622.0	800709.0	ybhD
dnaQ	+	235934.0	236798.0	dnaQ
pinE	+	1209527.0	1210239.0	pinE
epmA	+	4382618.0	4383620.0	epmA
tyrTV-tpr	-	1287009.0	1287665.0	tpr,tyrV,tyrT
yhjD	+	3673330.0	3674375.0	yhjD
dolP	+	3296072.0	3296984.0	dolP
yjaB	-	4213680.0	4214156.0	yjaB
yghSR	-	3132454.0	3133957.0	yghS,yghR
trpLEDCBA	-	1316383.0	1323108.0	trpA,trpB,trpC,trpD,trpE,trpL
pinR	-	1433084.0	1433712.0	pinR
rplKAJL-rpoBC	+	4178354.0	4189613.0	rpoC,rpoB,rplL,rplJ,rplA,rplK
fumD	-	1754932.0	1755209.0	fumD
mutY-yggX-mltC	+	3102911.0	3105512.0	mltC,yggX,mutY
alaA-yfbR	+	2407408.0	2409461.0	yfbR,alaA
argF-xynR	-	288404.0	290340.0	xynR,argF
prs	-	1260895.0	1262177.0	prs
asflhD	+	1978176.0	1978395.0	asflhD
serW	-	925843.0	926043.0	serW
yegW	-	2182035.0	2182781.0	yegW
ada-alkB	-	2308691.0	2310427.0	alkB,ada
yibL	+	3776597.0	3777027.0	yibL
rfaZ-waaU	-	3798239.0	3800196.0	waaU,waaZ
rrsE-gltV-rrlE-rrfE	+	4207863.0	4213209.0	rrfE,rrlE,gltV,rrsE
cyaR	+	2167114.0	2167200.0	cyaR
patD	+	1515415.0	1517002.0	patD
ycaD	+	945719.0	947019.0	ycaD
yneP	+	1579545.0	1579667.0	yneP
ycgN	+	1228683.0	1229276.0	ycgN
ydhQ	-	1744871.0	1746202.0	ydhQ
yidI	+	3856415.0	3856864.0	yidI
rhsC-ybfB	+	729379.0	734102.0	ybfB,rhsC,b0701
yoeF	+	2078575.0	2078931.0	yoeF
ftsK	+	932929.0	937213.0	ftsK
lldPRD	+	3777289.0	3781017.0	lldD,lldR,lldP
yfcG	+	2420621.0	2421268.0	yfcG
nagK-cobB	+	1178540.0	1180359.0	cobB,nagK
ybhL	+	819858.0	820588.0	ybhL
dicA	+	1647934.0	1648341.0	dicA
mazE	-	2911091.0	2911368.0	mazE
yfeN	+	2525127.0	2525891.0	yfeN
decR	+	468352.0	468841.0	decR
ybaY	+	475245.0	475951.0	ybaY
ybcQ	+	573956.0	574339.0	quuD
yqeC	-	3014287.0	3015234.0	yqeC
avtA	+	3739674.0	3740958.0	avtA
yrdD-rimN-aroE-yrdB	-	3429766.0	3431962.0	yrdB,aroE,tsaC,yrdD
ydiY	-	1805325.0	1806250.0	ydiY
citT	-	645117.0	646632.0	citT
nhaAR	+	17317.0	19620.0	nhaR,nhaA
gpmM-envC-yibQ	+	3785187.0	3789060.0	yibQ,envC,gpmM
metY-yhbC-nusA-infB	-	3313185.0	3318297.0	infB,nusA,rimP,metY
yqfE	-	3059381.0	3059611.0	yqfE
csgDEFG	-	1100851.0	1103344.0	csgG,csgF,csgE,csgD
sokX	+	2887353.0	2887411.0	sokX
pykF	+	1755467.0	1757110.0	pykF
ybiT	+	855947.0	857555.0	ybiT
gatYZABCD	-	2171833.0	2177234.0	gatD,gatC,gatB,gatA,gatZ,gatY
yegI	-	2149039.0	2151077.0	yegI
eptA	-	4333947.0	4335590.0	eptA
gnd-gndA	-	2099862.0	2101324.0	gndA,gnd
sra	-	1555826.0	1556046.0	sra
galETKM	-	787689.0	792177.0	galM,galK,galT,galE
glnB	-	2687070.0	2687526.0	glnB
maeA	-	1553972.0	1555742.0	maeA
yqjCDEK	+	3248887.0	3250376.0	yqjK,yqjE,yqjD,yqjC
mntR-ybiR	+	853098.0	854765.0	ybiR,mntR
crp	+	3485953.0	3486792.0	crp
ylaC	-	478781.0	479288.0	ylaC
fabI	-	1350251.0	1351121.0	fabI
yajI	-	432312.0	433034.0	yajI
ecnAB	+	4376317.0	4376699.0	ecnB,ecnA
icd	+	1194961.0	1196373.0	icd
rhaBAD	-	4093448.0	4097472.0	rhaD,rhaA,rhaB
cysZ	+	2531383.0	2532224.0	cysZ
leuL	-	83574.0	83735.0	leuL
degQS	+	3380654.0	3383267.0	degS,degQ
deoCABD	+	4616679.0	4621659.0	deoC,deoA,deoB,deoD
yigI	-	4004230.0	4004724.0	yigI
yhgN	+	3575071.0	3575664.0	yhgN
yeiL	+	2255290.0	2256014.0	yeiL
rlmE-ftsH	-	3324942.0	3327760.0	ftsH,rlmE
glxK	+	541888.0	543033.0	glxK
ydbK	-	1437260.0	1440831.0	ydbK
ldtE	-	1757721.0	1758725.0	ldtE
yccM	-	1052289.0	1053362.0	yccM
micF	+	2313084.0	2313176.0	micF
ubiT-yhbS	-	3300255.0	3301368.0	yhbS,ubiT
insH-1	-	274101.0	275298.0	insH1
pqiABC	+	1011659.0	1015459.0	pqiC,pqiB,pqiA
pykA	+	1937494.0	1939091.0	pykA
dgt	+	179196.0	180754.0	dgt
ygeV	-	3004008.0	3005847.0	ygeV
glmUS	-	3911810.0	3915326.0	glmS,glmU
bipA	+	4058407.0	4060230.0	bipA
qorB	-	4433164.0	4434024.0	qorB
rcsA	+	2023836.0	2024591.0	rcsA
hprRS	-	2036794.0	2038823.0	hprR,hprS
poxB	-	909331.0	911076.0	poxB
mpaA	-	1389870.0	1390639.0	mpaA
yhdN-zntR	-	3438705.0	3439546.0	yhdN,zntR
bsmA	-	4416441.0	4416869.0	bsmA
livJ	-	3598555.0	3599762.0	livJ
insE5EF5F5	+	2170236.0	2171398.0	insF5,insE5,insEF5
yccFS	-	1021730.0	1024365.0	yccF,yccS
glgS	-	3191716.0	3192012.0	glgS
yeaC	-	1861702.0	1861974.0	yeaC
