Geneid	Chr	Start	End	Strand	Length	Starch_S232	Starch_S235	Fat_S238	Starch_S233	Fat_S237	Starch_S231	Fat_S239	Fat_S236	Fat_S240
bioA	U00096.3	807968	809292	-	1325	2.50	0	1	1.50	1	2.50	2	0	0
bioBFCD	U00096.3	809302	812947	+	3646	1	11	9	5	3	9.50	5	3	3
bioH	U00096.3	3544074	3544858	-	785	2.50	3	5	1	2	0	1	3.50	5
bioP	U00096.3	4011076	4011975	+	900	0.50	0.50	1	0	1	1.50	1	3.50	0
bipA	U00096.3	4058407	4060230	+	1824	55	69	108	74	75	53	49	78	74
bisC	U00096.3	3714061	3716484	-	2424	11.50	10	7.50	8.50	4	9	7	6.50	10
blc	U00096.3	4377189	4377745	-	557	4.50	1.50	3	2	2	1	4.50	1	3.50
blr	U00096.3	1704512	1704676	+	165	3	3	4	2	2	8	4	4	7
bluF	U00096.3	1214264	1215506	-	1243	4	4	5	4	0	1	2	1	2
bluR	U00096.3	1213328	1214113	-	786	5	8	4	2	3	5	1	0	5
bolA	U00096.3	454349	454865	+	517	27	39	23	32	11	32	13	17	17
borD	U00096.3	578600	578921	-	322	1	1	2	0	0	1	2	0	0
brnQ-proY	U00096.3	419488	422359	+	2872	58	60	55	53	27	51	32	32	42
bsmA	U00096.3	4416441	4416869	-	429	13	19.50	13	13.50	8.50	11.50	12.50	7	10.50
bssR	U00096.3	878246	878631	+	386	4175	4202	4211	4159	3538	3958	3451	3317	3401
bssS	U00096.3	1120701	1121058	-	358	120	147	150	113	114	120	112	126	122
btsSR	U00096.3	2212243	2214644	-	2402	40.50	28	58	35	22	33	37	39	28
btsT	U00096.3	4589129	4591367	-	2239	62	53	66	71	44	52	65	80	96
btuB-murI	U00096.3	4163399	4166285	+	2887	44	56	43	51	25	51	27	34	34
btuCED	U00096.3	1792809	1795152	-	2344	9.50	10.83	15.33	10.17	7.83	10.00	12.17	15.00	10.83
btuD	U00096.3	1792809	1793583	-	775	3.50	3.83	4.83	2.67	1.33	2.50	2.67	1.50	3.83
btuE	U00096.3	1793558	1794129	-	572	2.33	3	3.50	1.83	3.50	3.50	1.83	4.83	3.33
cadA	U00096.3	4356470	4358647	-	2178	6	7.50	7.50	5.50	1	5.50	1.50	3.50	4.50
cadBA	U00096.3	4356470	4360106	-	3637	10	9.50	11.50	6.50	1	7.50	2.50	3.50	5.50
cadC	U00096.3	4360396	4361963	-	1568	6	8	14	11	7	13	2	6	3
caiCDE	U00096.3	34781	37854	-	3074	44.50	73	25.50	42	8.50	56.50	15	13.50	14
caiF	U00096.3	34218	34695	+	478	16	15	23	23	12	23	23	12	23
caiTABCDE	U00096.3	34781	42037	-	7257	136.50	179	98.50	129	48.50	142.50	66	52.50	62
can	U00096.3	142008	142703	-	696	32	24	29	20	26	25	22	27	23
carAB	U00096.3	29551	34120	+	4570	31	37	42.50	28.50	28	26	26	27.50	32.50
carB	U00096.3	30775	34038	+	3264	17	21	24.50	15.50	13	19	16	13.50	15.50
cas3	U00096.3	2884553	2887249	-	2697	4	5	4	8	9	5	1	6	9
casABCDE12	U00096.3	2878569	2884319	-	5751	9.33	6.67	7.67	7.67	3.67	2.33	8.00	5.33	3.00
casDE-ygbTF	U00096.3	2878569	2881078	-	2510	5.33	3.67	6.67	3.67	2.67	1.33	4.00	4.33	2.00
cbl	U00096.3	2059964	2060941	-	978	0	0	1.50	0	2.50	3	0	2	3
cbpA-cbpM	U00096.3	1062550	1064037	-	1488	58	65.50	70	65	65.50	64.50	63.50	63.50	75.50
cbpAM	U00096.3	1062550	1063833	-	1284	58	65.50	70	65	65.50	64.50	63.50	63.50	75.50
cbrA	U00096.3	3869314	3870441	+	1128	4	1.50	1	5	3	0	0	0.50	1
cbrB	U00096.3	3897479	3897973	+	495	5.50	5	10	5.50	6	4	5	7	7.50
cbrBC	U00096.3	3897479	3898609	+	1131	8	6.50	12	10.50	7.50	5.50	8.50	9	9.50
cbrC	U00096.3	3898022	3898609	+	588	2.50	1.50	2	5	1.50	1.50	3.50	2	2
ccmABCDEFGH	U00096.3	2291358	2297674	-	6317	24.50	25	26.50	26.50	16.33	24.67	17.83	25.67	23.33
cdaR	U00096.3	182447	183620	+	1174	10	15	14	7	12	10	17	24	10
cdd	U00096.3	2231819	2232728	+	910	48.50	56.50	44.50	37	53	51.50	56	48	52
cdgI	U00096.3	1870385	1871860	+	1476	2	6	0	8	3	1	1	0	1
cdh	U00096.3	4109907	4110730	+	824	1	1	1	3	3	2	4	2	0
cdsA	U00096.3	195555	196534	+	980	4.83	3.42	3.83	3.33	3.50	2.58	3.50	3.75	2.83
cecR-ybhGFSR	U00096.3	825002	830669	-	5668	25.50	29.50	24.50	24.50	9	18	18.50	15	25.50
cedA	U00096.3	1813421	1813742	-	322	1	2	3	2	1	1	0	2	5
cfa	U00096.3	1741201	1742561	+	1361	121	180	167	170	113	160	141	146	165
chaA	U00096.3	1270749	1271849	-	1101	7	4	6	3	2	1	4	1	3
chaBC	U00096.3	1272119	1273202	+	1084	4.50	4	4.50	3	2.50	2	3.50	4	2
chaC	U00096.3	1272422	1273202	+	781	1.50	2	1.50	2	0.50	2	0.50	1	1
chbBCARFG	U00096.3	1816386	1821726	-	5341	35	30	35	43	15	26	22	22	27
chiA	U00096.3	3467160	3469896	-	2737	11	19	18	14	4	16	7	10	8
chiQ	U00096.3	709790	710116	+	327	4.40	3.40	4.70	3.50	2.50	1.70	4	5.50	5.70
chiX	U00096.3	507204	507287	+	84	1	2	0	0	0	0	0	0	0
chiZPQ	U00096.3	708236	710116	+	1881	8.40	7.40	9.70	7.50	6.50	4.70	6	5.50	8.70
cho	U00096.3	1823492	1824402	+	911	1.50	2.50	0	4.50	1	6	4.50	2	4
chpSB	U00096.3	4448402	4449042	+	641	6	5	9	10	4	15	10	3	6
cirA	U00096.3	2244778	2246942	-	2165	14	7	6	14	9	5	10	11	3
citCDEFXG	U00096.3	646631	652039	-	5409	31	25	26	22	14.50	33.50	14.50	9.50	25.50
citR-ybdNM	U00096.3	634747	637618	-	2872	3.33	1.83	2.33	2.50	0.50	1.50	1.50	2	1.50
citT	U00096.3	645117	646632	-	1516	4	6	9	4	4.50	4.50	8.50	2.50	2
clcA	U00096.3	175052	176528	+	1477	17.83	19.17	10.50	11.83	10.33	17.67	10.50	13.33	15
clcB	U00096.3	1665315	1666571	+	1257	30.00	30.00	31.33	22.33	23.67	35.33	21.00	32.33	32.33
clpA	U00096.3	923080	925540	+	2461	92.50	95	101	95	76	91	71	71.50	73.50
clpB	U00096.3	2731557	2734205	-	2649	312.50	301.50	316.50	280	267	282	281	354.50	334.50
clpPX	U00096.3	456577	458755	+	2179	419.83	399.83	402.67	395.17	308.50	392.83	359.83	389.83	394.67
clpS	U00096.3	922751	923233	+	483	197.50	199.50	179.50	196	178.50	200.50	157.50	184	202
clpX-lon	U00096.3	457202	461242	+	4041	349.83	361.33	351.17	359.67	249.50	330.33	292.33	299.33	307.67
clsA-yciU	U00096.3	1306821	1308673	-	1853	20	19	17	14	11	15	14	11	14
clsC	U00096.3	1106292	1107776	+	1485	4.60	4.33	2.93	3.47	2.80	2.93	4.40	2.13	3.93
cmk-rpsA	U00096.3	961165	963716	+	2552	410.50	389	453	411.50	332.50	388.50	377	393	400
cmr	U00096.3	883569	884938	+	1370	6	4	3	4	2	5	1	2	6
cmtBA-yggPF-fumE-yggC	U00096.3	3073976	3079330	-	5355	12	16	13.50	15.50	5	8.50	9.50	10.50	7.50
cnu	U00096.3	1704761	1705164	+	404	43	40	32	50	29	34	33	47	45
coaA	U00096.3	4174076	4175107	-	1032	29	24	36	27	28	30	24	32	37
coaE-zapD-yacG	U00096.3	111649	113219	-	1571	37	38.50	44.50	34.50	15.50	28	27.50	32	29.50
cobUST	U00096.3	2063388	2065972	-	2585	16	14	10	15	11	12	4	14	16
codBA	U00096.3	354884	357454	+	2571	15	20	13	24	16	15	18	23	21
cof	U00096.3	467412	468230	+	819	54	77	39	54	39	48	50	51	42
comR	U00096.3	1168200	1168844	-	645	26	17	39	30	23	24	11	23	16
copA	U00096.3	508875	511411	-	2537	12	17	14	13	8	10	10	13	13
corA	U00096.3	4001194	4002376	+	1183	66	63	54	49	44	31	57	39	37
cpdB	U00096.3	4434622	4436629	-	2008	48	42	63	54	39	54	50	46	44
cpxPQ	U00096.3	4105785	4106387	+	603	272	155	201	154	147	179	114	124	143
cpxRA	U00096.3	4103602	4105686	-	2085	26	20	24	21	14	25	13	13	26
cra	U00096.3	87947	89032	+	1086	125.50	127.50	142.50	118.50	105.50	107.50	111	111	120.50
